IPL Ball-by-Ball 2008-2020[id],IPL Ball-by-Ball 2008-2020[inning],IPL Ball-by-Ball 2008-2020[over],IPL Ball-by-Ball 2008-2020[ball],IPL Ball-by-Ball 2008-2020[batsman],IPL Ball-by-Ball 2008-2020[non_striker],IPL Ball-by-Ball 2008-2020[bowler],IPL Ball-by-Ball 2008-2020[batsman_runs],IPL Ball-by-Ball 2008-2020[extra_runs],IPL Ball-by-Ball 2008-2020[total_runs],IPL Ball-by-Ball 2008-2020[non_boundary],IPL Ball-by-Ball 2008-2020[is_wicket],IPL Ball-by-Ball 2008-2020[dismissal_kind],IPL Ball-by-Ball 2008-2020[player_dismissed],IPL Ball-by-Ball 2008-2020[fielder],IPL Ball-by-Ball 2008-2020[extras_type],IPL Ball-by-Ball 2008-2020[batting_team],IPL Ball-by-Ball 2008-2020[bowling_team]
1136574,1,6,1,RG Sharma,E Lewis,Mohammed Siraj,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1136574,1,8,1,RG Sharma,E Lewis,YS Chahal,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1136601,1,6,1,RG Sharma,SA Yadav,SP Narine,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
1136601,1,12,1,RG Sharma,Ishan Kishan,M Prasidh Krishna,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
1136601,1,14,1,RG Sharma,Ishan Kishan,SP Narine,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
1136601,1,16,1,RG Sharma,HH Pandya,SP Narine,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
1175362,1,7,1,RG Sharma,SA Yadav,C de Grandhomme,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
1175364,1,0,1,RG Sharma,Q de Kock,R Ashwin,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Kings XI Punjab
1175370,1,2,1,RG Sharma,Q de Kock,DL Chahar,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
1175370,1,6,1,RG Sharma,SA Yadav,Imran Tahir,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Chennai Super Kings
